class,precision,recall,f1_score,support
BENIGN,0.989788,0.993277,0.991529,419012
Bot,0.613636,0.623077,0.618321,390
DDoS,0.999062,0.998633,0.998848,25603
DoS GoldenEye,0.982439,0.979096,0.980765,2057
DoS Hulk,0.985748,0.990396,0.988067,34569
DoS Slowhttptest,0.977077,0.978011,0.977544,1046
DoS slowloris,0.980095,0.960074,0.969981,1077
FTP-Patator,0.97684,0.995784,0.986221,1186
Heartbleed,0.5,0.5,0.5,2
Infiltration,0.538462,1.0,0.7,7
PortScan,0.921071,0.802249,0.857564,18139
SSH-Patator,0.993209,0.908385,0.948905,644
Web Attack � Brute Force,0.833333,0.085034,0.154321,294
Web Attack � Sql Injection,0.027027,0.75,0.052174,4
Web Attack � XSS,0.086998,0.7,0.154762,130
macro avg,0.760319,0.817601,0.725267,504160
weighted avg,0.986776,0.98532,0.985652,504160
