class,precision,recall,f1_score,support
BENIGN,0.998738,0.99878,0.998759,419012
Bot,0.938547,0.430769,0.59051,390
DDoS,0.999609,0.999414,0.999512,25603
DoS GoldenEye,0.995571,0.983471,0.989484,2057
DoS Hulk,0.991969,0.99326,0.992614,34569
DoS Slowhttptest,0.981132,0.994264,0.987654,1046
DoS slowloris,0.99531,0.985144,0.990201,1077
FTP-Patator,0.99747,0.99747,0.99747,1186
Heartbleed,1.0,1.0,1.0,2
Infiltration,1.0,1.0,1.0,7
PortScan,0.989029,0.998953,0.993966,18139
SSH-Patator,0.968404,0.951863,0.960063,644
Web Attack � Brute Force,0.694444,0.935374,0.797101,294
Web Attack � Sql Injection,0.107143,0.75,0.1875,4
Web Attack � XSS,0.875,0.053846,0.101449,130
macro avg,0.902158,0.871507,0.839086,504160
weighted avg,0.997607,0.997554,0.997401,504160
