sampler,tag,loss,alpha_mode,seed,downsampled,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,weighted_f1,recall_BACKDOOR_MALWARE,precision_BACKDOOR_MALWARE,recall_BENIGN,precision_BENIGN,recall_BROWSERHIJACKING,precision_BROWSERHIJACKING,recall_COMMANDINJECTION,precision_COMMANDINJECTION,recall_DDOS_ACK_FRAGMENTATION,precision_DDOS_ACK_FRAGMENTATION,recall_DDOS_HTTP_FLOOD,precision_DDOS_HTTP_FLOOD,recall_DDOS_ICMP_FLOOD,precision_DDOS_ICMP_FLOOD,recall_DDOS_ICMP_FRAGMENTATION,precision_DDOS_ICMP_FRAGMENTATION,recall_DDOS_PSHACK_FLOOD,precision_DDOS_PSHACK_FLOOD,recall_DDOS_RSTFINFLOOD,precision_DDOS_RSTFINFLOOD,recall_DDOS_SLOWLORIS,precision_DDOS_SLOWLORIS,recall_DDOS_SYNONYMOUSIP_FLOOD,precision_DDOS_SYNONYMOUSIP_FLOOD,recall_DDOS_SYN_FLOOD,precision_DDOS_SYN_FLOOD,recall_DDOS_TCP_FLOOD,precision_DDOS_TCP_FLOOD,recall_DDOS_UDP_FLOOD,precision_DDOS_UDP_FLOOD,recall_DDOS_UDP_FRAGMENTATION,precision_DDOS_UDP_FRAGMENTATION,recall_DICTIONARYBRUTEFORCE,precision_DICTIONARYBRUTEFORCE,recall_DNS_SPOOFING,precision_DNS_SPOOFING,recall_DOS_HTTP_FLOOD,precision_DOS_HTTP_FLOOD,recall_DOS_SYN_FLOOD,precision_DOS_SYN_FLOOD,recall_DOS_TCP_FLOOD,precision_DOS_TCP_FLOOD,recall_DOS_UDP_FLOOD,precision_DOS_UDP_FLOOD,recall_MIRAI_GREETH_FLOOD,precision_MIRAI_GREETH_FLOOD,recall_MIRAI_GREIP_FLOOD,precision_MIRAI_GREIP_FLOOD,recall_MIRAI_UDPPLAIN,precision_MIRAI_UDPPLAIN,recall_MITM_ARPSPOOFING,precision_MITM_ARPSPOOFING,recall_RECON_HOSTDISCOVERY,precision_RECON_HOSTDISCOVERY,recall_RECON_OSSCAN,precision_RECON_OSSCAN,recall_RECON_PINGSWEEP,precision_RECON_PINGSWEEP,recall_RECON_PORTSCAN,precision_RECON_PORTSCAN,recall_SQLINJECTION,precision_SQLINJECTION,recall_UPLOADING_ATTACK,precision_UPLOADING_ATTACK,recall_VULNERABILITYSCAN,precision_VULNERABILITYSCAN,recall_XSS,precision_XSS
none,none_ce_42,ce,,42,False,0.778770440390056,0.6944145074576563,0.5835063147665328,0.5984785562031398,0.5835063147665328,0.7718393594584737,0.0,0.0,0.895423,0.768191,0.108813,0.870504,0.184466,0.688406,0.987479,0.989574,0.669505,0.921676,0.998016,0.991265,0.985469,0.99124,0.997463,0.999155,0.997177,0.999972,0.851786,0.822591,0.602961,0.433161,0.525701,0.54407,0.881815,0.647128,0.795598,0.705711,0.985515,0.998925,0.20647,0.865997,0.524624,0.742542,0.958358,0.857106,0.404333,0.621879,0.328246,0.671822,0.646559,0.747621,0.993878,0.991019,0.988441,0.995438,0.998267,0.989958,0.705365,0.728056,0.611676,0.686518,0.073924,0.431689,0.002315,0.166667,0.273213,0.496098,0.007968,0.666667,0.0,0.0,0.648392,0.579449,0.0,0.0
none,none_focal_fixed_42,focal,fixed,42,False,0.7801746515954187,0.6991974379443608,0.5946521314635215,0.6088454966051362,0.5946521314635215,0.7767128828760467,0.029268,0.62069,0.899046,0.772877,0.130396,0.843023,0.240777,0.561086,0.9877,0.990819,0.671498,0.921661,0.997093,0.997161,0.987986,0.988444,0.998005,0.997738,0.997217,0.999721,0.917857,0.699915,0.660679,0.435962,0.490858,0.558288,0.719831,0.688165,0.819973,0.700193,0.986777,0.997486,0.267971,0.760771,0.457025,0.760373,0.958796,0.86291,0.410262,0.629398,0.545377,0.585058,0.627877,0.765058,0.993254,0.99373,0.996118,0.993814,0.998241,0.99271,0.743389,0.697964,0.63545,0.682528,0.092933,0.451341,0.013889,0.109091,0.252702,0.51479,0.045817,0.605263,0.0,0.0,0.644112,0.594686,0.0,0.0
none,none_focal_sqrtinv_42,focal,sqrt_inverse,42,False,0.7701633088824273,0.6260058565078099,0.6073218961223689,0.6010511764944502,0.6073218961223689,0.765967129466887,0.019512,0.07362,0.862309,0.787919,0.222122,0.254902,0.253398,0.430693,0.990443,0.961823,0.720964,0.856436,0.996257,0.999724,0.987255,0.980015,0.996096,0.999664,0.997109,0.999836,0.969196,0.489129,0.736586,0.42256,0.370161,0.574678,0.673275,0.689191,0.854114,0.678349,0.987472,0.987725,0.323083,0.42895,0.628626,0.639559,0.945281,0.853046,0.454183,0.580466,0.575091,0.560493,0.567258,0.787775,0.988141,0.994857,0.992971,0.98843,0.997465,0.993032,0.633314,0.721976,0.6934,0.522851,0.053507,0.332996,0.090278,0.110795,0.333442,0.442534,0.046813,0.443396,0.062762,0.047319,0.605467,0.593516,0.021592,0.055944
none,none_ce_123,ce,,123,False,0.7815441086329591,0.7265846611355224,0.5897064198577693,0.6050024316495097,0.5897064198577693,0.7755505842570944,0.0,0.0,0.909057,0.764748,0.123201,0.769663,0.16699,0.68254,0.987313,0.991769,0.699583,0.920381,0.997447,0.995297,0.987162,0.986316,0.997585,0.998981,0.9973,0.999753,0.8875,0.808294,0.702344,0.432679,0.447139,0.576735,0.840139,0.659892,0.820243,0.703055,0.987253,0.99418,0.245607,0.878571,0.548603,0.771449,0.950906,0.877444,0.429267,0.608574,0.396079,0.643962,0.632587,0.765159,0.993455,0.992681,0.99084,0.994801,0.998071,0.992098,0.700106,0.749915,0.621139,0.697169,0.090766,0.441867,0.009259,0.8,0.235057,0.511694,0.011952,0.6,0.0,0.0,0.644715,0.594211,0.00135,0.5
none,none_focal_fixed_123,focal,fixed,123,False,0.776828967836922,0.6896299198161183,0.58479355620053,0.6021602863889132,0.58479355620053,0.7707354630140012,0.0,0.0,0.903352,0.763607,0.127698,0.78022,0.166019,0.617329,0.986687,0.996226,0.599565,0.945969,0.997395,0.995865,0.9862,0.990911,0.997975,0.997866,0.997277,0.999916,0.89442,0.780635,0.566555,0.433841,0.550716,0.534373,0.811164,0.65971,0.887967,0.668363,0.988149,0.992141,0.265974,0.830424,0.521839,0.745042,0.964348,0.843127,0.401839,0.636476,0.416433,0.616084,0.535483,0.814683,0.98745,0.988667,0.993663,0.985536,0.996494,0.997378,0.681875,0.72924,0.615234,0.682662,0.15987,0.429444,0.020833,0.173077,0.165191,0.457035,0.053785,0.6,0.0,0.0,0.640183,0.594904,0.00135,0.166667
none,none_focal_sqrtinv_123,focal,sqrt_inverse,123,False,0.7622574498296213,0.6347473754990621,0.6022986013317865,0.5958517022553158,0.6022986013317865,0.7570976993462168,0.039024,0.4,0.831039,0.795219,0.208633,0.176158,0.229126,0.39399,0.98897,0.968427,0.723863,0.829871,0.996168,0.99955,0.986304,0.981104,0.995743,0.999875,0.997237,0.999988,0.954911,0.518797,0.674048,0.429081,0.419623,0.543522,0.612424,0.683651,0.929646,0.645842,0.986302,0.995441,0.311901,0.526991,0.597312,0.64815,0.938559,0.815838,0.436741,0.575959,0.603689,0.529755,0.45578,0.863575,0.993243,0.979095,0.971957,0.994679,0.998286,0.980705,0.60423,0.69931,0.670447,0.550116,0.074844,0.395535,0.071759,0.101307,0.273734,0.450638,0.057769,0.487395,0.142259,0.031022,0.672892,0.534987,0.02969,0.055838
none,none_ce_1337,ce,,1337,False,0.7795828785734604,0.6955390849639774,0.5880773964044745,0.6033584292805646,0.5880773964044745,0.7748477732829939,0.0,0.0,0.924573,0.746115,0.126799,0.839286,0.179612,0.644599,0.987294,0.986931,0.700127,0.899651,0.997966,0.991363,0.985655,0.992712,0.997643,0.998854,0.997237,0.999996,0.895759,0.723846,0.664504,0.434524,0.482553,0.553995,0.787625,0.672483,0.816952,0.69922,0.986283,0.998685,0.230032,0.911392,0.60267,0.711041,0.946084,0.870179,0.41045,0.632081,0.464814,0.61413,0.626672,0.760394,0.992135,0.992638,0.991164,0.992715,0.997048,0.994902,0.62248,0.785696,0.619496,0.678443,0.091958,0.450996,0.0,0.0,0.232192,0.514352,0.036853,0.711538,0.0,0.0,0.594606,0.610277,0.005398,0.235294
none,none_focal_fixed_1337,focal,fixed,1337,False,0.7809156771052158,0.7031466013144707,0.5910421639774713,0.6088484170855022,0.5910421639774713,0.7762802566727585,0.0,0.0,0.914887,0.759262,0.148381,0.714286,0.190291,0.552113,0.986282,0.996021,0.63671,0.948192,0.997948,0.993165,0.987487,0.990808,0.997527,0.997977,0.99732,0.999852,0.894196,0.808803,0.628239,0.435687,0.526716,0.548066,0.788688,0.672288,0.834156,0.694171,0.988771,0.988753,0.286741,0.796892,0.544472,0.73465,0.963033,0.858706,0.392328,0.649732,0.463702,0.614717,0.610086,0.773759,0.992875,0.993711,0.99192,0.99452,0.997726,0.994789,0.699325,0.733342,0.644639,0.677906,0.152017,0.444216,0.023148,0.294118,0.172418,0.505923,0.034861,0.853659,0.0,0.0,0.599096,0.61767,0.009447,0.269231
none,none_focal_sqrtinv_1337,focal,sqrt_inverse,1337,False,0.767496045523199,0.6497515252545547,0.6073140027888239,0.6020746436199137,0.6073140027888239,0.7632344590813586,0.026016,0.363636,0.82762,0.805216,0.207734,0.393526,0.212621,0.539409,0.987718,0.98231,0.741439,0.858042,0.996349,0.999427,0.98671,0.985054,0.995304,0.999908,0.997169,1.0,0.948214,0.468771,0.760413,0.418724,0.335771,0.596881,0.603674,0.705281,0.854549,0.677898,0.987198,0.991878,0.361422,0.428098,0.539473,0.665534,0.951856,0.800504,0.47203,0.564162,0.646651,0.541254,0.566129,0.787928,0.99116,0.988198,0.984228,0.992152,0.997446,0.992003,0.709658,0.673712,0.701337,0.553854,0.11557,0.379648,0.094907,0.092551,0.216174,0.498873,0.042829,0.651515,0.079498,0.048843,0.672022,0.549877,0.037787,0.096886
none,none_ce_2024,ce,,2024,False,0.7810004201445631,0.6695761191692965,0.5865795621845467,0.6014102424992291,0.5865795621845467,0.7766219535221399,0.0,0.0,0.921456,0.754792,0.116906,0.878378,0.176699,0.689394,0.986632,0.99351,0.670955,0.922521,0.997874,0.992109,0.988589,0.9823,0.997561,0.998814,0.997241,0.99998,0.915625,0.724991,0.596255,0.4372,0.548562,0.54143,0.777055,0.6748,0.814034,0.703002,0.985991,0.997613,0.21845,0.841538,0.546508,0.747054,0.952148,0.864487,0.385903,0.647598,0.478454,0.608998,0.635056,0.760255,0.992909,0.993075,0.992309,0.994601,0.997165,0.994722,0.712539,0.734375,0.61105,0.706465,0.119957,0.432786,0.0,0.0,0.219104,0.530255,0.0,0.0,0.0,0.0,0.590719,0.618546,0.0,0.0
