sampler,loss,seed,downsampled,accuracy,weighted_f1,macro_precision,macro_recall,macro_f1,gmean,recall_BENIGN,recall_Bot,recall_DDoS,recall_DoS_GoldenEye,recall_DoS_Hulk,recall_DoS_Slowhttptest,recall_DoS_slowloris,recall_FTP_Patator,recall_Heartbleed,recall_Infiltration,recall_PortScan,recall_SSH_Patator,recall_Web_Attack_�_Brute_Force,recall_Web_Attack_�_Sql_Injection,recall_Web_Attack_�_XSS,balanced_accuracy,precision_BENIGN,precision_Bot,precision_DDoS,precision_DoS_GoldenEye,precision_DoS_Hulk,precision_DoS_Slowhttptest,precision_DoS_slowloris,precision_FTP_Patator,precision_Heartbleed,precision_Infiltration,precision_PortScan,precision_SSH_Patator,precision_Web_Attack_�_Brute_Force,precision_Web_Attack_�_Sql_Injection,precision_Web_Attack_�_XSS,alpha_mode
none,ce,42,False,0.9843204538241828,0.9850527221789916,0.7418288822198035,0.7015764009506587,0.7014289604902586,0.0551404500319532,0.983306,0.389744,0.999063,0.929995,0.994909,0.99522,0.983287,0.996627,0.5,0.0,0.997133,0.900621,0.853741,0.0,0.0,0.7015764009506587,0.99827,1.0,0.998946,0.991192,0.985953,0.977465,0.993433,0.997468,1.0,0.0,0.741392,0.998279,0.445035,0.0,0.0,
ros,ce,42,False,0.9715368137099334,0.9754443682575652,0.5936610872996694,0.8746670346758888,0.655500656963265,0.8492592985480536,0.966333,1.0,0.999922,0.998542,0.998901,0.996176,0.987929,0.99747,0.5,0.857143,0.999118,1.0,0.564626,0.5,0.753846,0.8746670346758888,0.999973,0.154578,0.9543,0.885727,0.951739,0.788796,0.885928,0.995791,0.25,0.24,0.741045,0.78825,0.170606,0.010526,0.087657,
smote,ce,42,False,0.9493394953982862,0.9604313509161546,0.5825417188666933,0.8680311668258391,0.6137689597012836,0.8429134320560281,0.939744,1.0,0.99918,0.992222,0.998814,0.99522,0.986072,0.99747,0.5,0.857143,0.998787,0.992236,0.602041,0.5,0.661538,0.8680311668258391,0.999942,0.045407,0.93127,0.551175,0.944162,0.761522,0.858529,0.994954,1.0,0.026786,0.689777,0.723669,0.135218,0.006024,0.069692,
adasyn,ce,42,False,0.9626547127895906,0.9698139082243332,0.5708281993798171,0.8957603547759335,0.6337957693497606,0.8524076410910425,0.955751,1.0,0.999844,0.986874,0.998901,0.99044,0.988858,0.999157,1.0,1.0,0.999063,0.98913,0.547619,0.25,0.730769,0.8957603547759335,0.999973,0.072911,0.953692,0.82153,0.945847,0.764012,0.636581,0.928683,0.666667,0.023729,0.738829,0.788366,0.123466,0.003891,0.094246,
ctgan,ce,42,False,0.996862107267534,0.996837217768854,0.8349974595871842,0.8788641151556759,0.7978509095699539,0.8019286219428731,0.997673,0.65641,0.998906,0.98736,0.997397,0.994264,0.982358,0.996627,0.5,1.0,0.999063,0.965839,0.122449,1.0,0.984615,0.8788641151556759,0.999328,0.630542,0.999687,0.989766,0.984046,0.980207,0.994361,0.997468,1.0,0.777778,0.989138,0.958398,0.8,0.090909,0.333333,
ctgan,focal,42,False,0.940173754363694,0.9552008088502064,0.5762809736107136,0.9255606679528924,0.6212647689816707,0.8565430337206171,0.929212,0.994872,0.999219,0.990277,0.99838,0.99522,0.95636,0.996627,1.0,1.0,0.998181,0.914596,0.12585,1.0,0.984615,0.9255606679528924,0.999908,0.033669,0.925244,0.645642,0.942618,0.743041,0.847039,0.928515,1.0,0.01983,0.676354,0.769935,0.054173,0.003964,0.054283,
tvae,ce,42,False,0.997554347826087,0.9974006102271272,0.9021577777290888,0.8715072812231096,0.8390855336782216,0.7549209049440864,0.99878,0.430769,0.999414,0.983471,0.99326,0.994264,0.985144,0.99747,1.0,1.0,0.998953,0.951863,0.935374,0.75,0.053846,0.8715072812231096,0.998738,0.938547,0.999609,0.995571,0.991969,0.981132,0.99531,0.99747,1.0,1.0,0.989029,0.968404,0.694444,0.107143,0.875,
tvae,focal,42,False,0.9786377340526816,0.981187837073881,0.6883494992848764,0.8756661805573364,0.6941295759269691,0.7854946111437475,0.975788,0.646154,0.997891,0.984443,0.997686,0.99522,0.985144,0.99747,0.5,1.0,0.998787,0.995342,0.091837,1.0,0.969231,0.8756661805573364,0.999252,0.590164,0.998827,0.9579,0.964592,0.840194,0.986977,0.99663,1.0,0.166667,0.740225,0.786503,0.216,0.011429,0.069884,sqrt_inverse
tvae,focal,42,False,0.9960964773087908,0.9960296419738436,0.8670321711774347,0.8386703014029586,0.7765306326503556,0.6815371429559586,0.997303,0.392308,0.996641,0.977637,0.993057,0.994264,0.980501,0.996627,0.5,0.857143,0.998677,0.978261,0.894558,1.0,0.023077,0.8386703014029586,0.998552,0.921687,0.999687,0.985784,0.982063,0.979284,0.99435,0.994113,1.0,0.75,0.98881,0.811856,0.554852,0.044444,1.0,fixed
tvae,ce,42,False,0.997554347826087,0.9974006102271272,0.9021577777290887,0.8715072812231096,0.8390855336782216,0.7549209049440864,0.99878,0.430769,0.999414,0.983471,0.99326,0.994264,0.985144,0.99747,1.0,1.0,0.998953,0.951863,0.935374,0.75,0.053846,0.8715072812231096,0.998738,0.938547,0.999609,0.995571,0.991969,0.981132,0.99531,0.99747,1.0,1.0,0.989029,0.968404,0.694444,0.107143,0.875,N/A
