sampler,loss,seed,downsampled,accuracy,weighted_f1,macro_precision,macro_recall,macro_f1,gmean,recall_BENIGN,recall_Bot,recall_DDoS,recall_DoS_GoldenEye,recall_DoS_Hulk,recall_DoS_Slowhttptest,recall_DoS_slowloris,recall_FTP_Patator,recall_Heartbleed,recall_Infiltration,recall_PortScan,recall_SSH_Patator,recall_Web_Attack_�_Brute_Force,recall_Web_Attack_�_Sql_Injection,recall_Web_Attack_�_XSS,balanced_accuracy,precision_BENIGN,precision_Bot,precision_DDoS,precision_DoS_GoldenEye,precision_DoS_Hulk,precision_DoS_Slowhttptest,precision_DoS_slowloris,precision_FTP_Patator,precision_Heartbleed,precision_Infiltration,precision_PortScan,precision_SSH_Patator,precision_Web_Attack_�_Brute_Force,precision_Web_Attack_�_Sql_Injection,precision_Web_Attack_�_XSS,alpha_mode
none,ce,42,False,0.9843204538241828,0.9850527221789916,0.7418288822198035,0.7015764009506587,0.7014289604902586,0.0551404500319532,0.983306,0.389744,0.999063,0.929995,0.994909,0.99522,0.983287,0.996627,0.5,0.0,0.997133,0.900621,0.853741,0.0,0.0,0.7015764009506587,0.99827,1.0,0.998946,0.991192,0.985953,0.977465,0.993433,0.997468,1.0,0.0,0.741392,0.998279,0.445035,0.0,0.0,
ctgan,ce,42,False,0.996862107267534,0.996837217768854,0.8349974595871842,0.8788641151556759,0.7978509095699539,0.8019286219428731,0.997673,0.65641,0.998906,0.98736,0.997397,0.994264,0.982358,0.996627,0.5,1.0,0.999063,0.965839,0.122449,1.0,0.984615,0.8788641151556759,0.999328,0.630542,0.999687,0.989766,0.984046,0.980207,0.994361,0.997468,1.0,0.777778,0.989138,0.958398,0.8,0.090909,0.333333,
tvae,ce,42,False,0.997554347826087,0.9974006102271272,0.9021577777290888,0.8715072812231096,0.8390855336782216,0.7549209049440864,0.99878,0.430769,0.999414,0.983471,0.99326,0.994264,0.985144,0.99747,1.0,1.0,0.998953,0.951863,0.935374,0.75,0.053846,0.8715072812231096,0.998738,0.938547,0.999609,0.995571,0.991969,0.981132,0.99531,0.99747,1.0,1.0,0.989029,0.968404,0.694444,0.107143,0.875,
tvae,focal,42,False,0.9786377340526816,0.981187837073881,0.6883494992848764,0.8756661805573364,0.6941295759269691,0.7854946111437475,0.975788,0.646154,0.997891,0.984443,0.997686,0.99522,0.985144,0.99747,0.5,1.0,0.998787,0.995342,0.091837,1.0,0.969231,0.8756661805573364,0.999252,0.590164,0.998827,0.9579,0.964592,0.840194,0.986977,0.99663,1.0,0.166667,0.740225,0.786503,0.216,0.011429,0.069884,sqrt_inverse
none,ce,123,False,0.9975067438908284,0.9973219318710684,0.8735585783907709,0.752782866939777,0.7761263513661835,0.2763177837257754,0.998637,0.394872,0.999531,0.982499,0.993983,0.99522,0.985144,0.996627,0.5,0.428571,0.999118,0.970497,0.993197,0.0,0.053846,0.752782866939777,0.998816,1.0,0.999453,0.988748,0.990916,0.98115,0.992516,0.997468,1.0,1.0,0.989139,0.941265,0.685446,0.0,0.538462,
ctgan,ce,123,False,0.9884262932402412,0.9885649698800396,0.7906006852417072,0.8837588227767538,0.7775319764998644,0.8134845553219854,0.990979,0.64359,0.99586,0.984443,0.99271,0.992352,0.965645,0.996627,1.0,1.0,0.93649,0.900621,0.122449,0.75,0.984615,0.8837588227767538,0.995875,0.613692,0.999412,0.983487,0.982282,0.971001,0.984848,0.976053,0.5,0.636364,0.85409,0.97973,0.972973,0.075,0.334204,
tvae,ce,123,False,0.9963940019041574,0.9963337432628788,0.7984779196446503,0.8535867095665489,0.7934994705267955,0.7795530634299888,0.997437,0.394872,0.999102,0.985902,0.995777,0.993308,0.977716,0.996627,1.0,1.0,0.998732,0.962733,0.605442,0.75,0.146154,0.8535867095665489,0.99892,0.974684,0.999687,0.975938,0.987889,0.973758,0.995274,0.997468,0.666667,0.636364,0.969963,0.967239,0.613793,0.0625,0.157025,
tvae,focal,123,False,0.97420461758172,0.976975401605026,0.6583527679624802,0.8954803347953562,0.6867481160066479,0.8256476550107711,0.970438,0.628205,0.999102,0.985416,0.998698,0.987572,0.952646,0.996627,1.0,0.857143,0.998401,0.978261,0.12585,1.0,0.953846,0.8954803347953562,0.99941,0.483235,0.955833,0.901289,0.951546,0.803891,0.971591,0.971241,0.5,0.193548,0.732102,0.783582,0.552239,0.009368,0.066417,sqrt_inverse
none,ce,2024,False,0.9975245953665502,0.997336508153908,0.9040282463114168,0.75324230267747,0.7756044701904989,0.2737635221343555,0.998489,0.394872,0.999102,0.990277,0.995834,0.99522,0.986072,0.996627,0.5,0.428571,0.999063,0.975155,0.993197,0.0,0.046154,0.75324230267747,0.998959,1.0,0.99957,0.989796,0.989565,0.983003,0.995314,0.997468,1.0,1.0,0.988383,0.94864,0.669725,0.0,1.0,
ctgan,ce,2024,False,0.9957235798159314,0.9957531644375248,0.8439704973216915,0.904679713979926,0.8198610308922158,0.8357739956465916,0.996289,0.797436,0.999531,0.98736,0.995834,0.99522,0.961003,0.996627,1.0,1.0,0.999063,0.981366,0.12585,0.75,0.984615,0.904679713979926,0.99938,0.589015,0.999297,0.990249,0.98687,0.98115,0.995192,0.97284,1.0,0.875,0.959394,0.915942,1.0,0.056604,0.338624,
tvae,ce,2024,False,0.9952653919390668,0.9954708955493812,0.7507352781871041,0.8618831627208882,0.7746525605667607,0.7094245450132035,0.996091,0.64359,0.999024,0.898882,0.995372,0.992352,0.984215,0.996627,0.5,1.0,0.999063,0.96118,0.938776,1.0,0.023077,0.8618831627208882,0.998713,0.594787,0.999531,0.993552,0.986808,0.98017,0.99344,0.997468,0.333333,0.7,0.962912,0.95969,0.679803,0.068966,0.011858,
tvae,focal,2024,False,0.9790641859727072,0.9814943288067612,0.70432763232803,0.8797841833125297,0.7479912848619572,0.7770211469567911,0.975824,0.651282,0.998125,0.992222,0.999016,0.99522,0.986072,0.99747,1.0,0.857143,0.998732,0.995342,0.938776,0.75,0.061538,0.8797841833125297,0.999545,0.5,0.998906,0.960019,0.966176,0.838164,0.976103,0.99747,1.0,0.545455,0.739157,0.769508,0.255083,0.010309,0.009019,sqrt_inverse
none,ce,7,False,0.9973222786417012,0.9972413628071424,0.8507580121467746,0.8292529614480767,0.8196047048417195,0.3124211238646928,0.998146,0.641026,0.999766,0.982013,0.994793,0.993308,0.984215,0.996627,1.0,0.857143,0.999063,0.945652,0.993197,0.0,0.053846,0.8292529614480767,0.999066,0.628141,0.999375,0.989711,0.991552,0.981114,0.99344,0.997468,1.0,0.857143,0.98457,0.957547,0.682243,0.0,0.7,
ctgan,ce,7,False,0.9968581402729292,0.9969635445737832,0.8431952528748212,0.9216519460044784,0.8188498725989,0.8515056186118053,0.997735,0.969231,0.998281,0.982985,0.993838,0.99522,0.985144,0.996627,1.0,0.857143,0.998677,0.973602,0.122449,1.0,0.953846,0.9216519460044784,0.999247,0.474279,0.999609,0.994589,0.991601,0.976548,0.994377,0.997468,1.0,0.857143,0.989026,0.984301,0.972973,0.081633,0.335135,
tvae,ce,7,False,0.9828209298635354,0.9842759777675304,0.7545275577598876,0.8646698084617391,0.7755583742004263,0.3681166416114692,0.987366,0.641026,0.996133,0.969373,0.997223,0.984704,0.969359,0.996627,1.0,1.0,0.850819,0.919255,0.908163,0.75,0.0,0.8646698084617391,0.992529,0.58548,0.999608,0.984205,0.968724,0.97723,0.983977,0.985,1.0,0.4375,0.869122,0.991625,0.522505,0.020408,0.0,
tvae,focal,7,False,0.9767097746747064,0.980098368974021,0.6702248046804247,0.9225117958765688,0.7143621302028353,0.7825358711773509,0.973275,0.948718,0.994766,0.987846,0.99488,0.996176,0.985144,0.99747,1.0,1.0,0.999173,0.990683,0.938776,1.0,0.030769,0.9225117958765688,0.99924,0.207283,0.995739,0.961211,0.975272,0.872697,0.983318,0.99747,1.0,0.0875,0.731278,0.778049,0.440895,0.020408,0.003012,sqrt_inverse
none,ce,1337,False,0.9844989685814028,0.985156138688099,0.7856702406383479,0.7258395073414476,0.7316103985194802,0.1282165623053183,0.984098,0.394872,0.998281,0.990763,0.984321,0.992352,0.955432,0.996627,0.5,0.285714,0.998787,0.908385,0.897959,0.0,0.0,0.7258395073414476,0.997701,0.980892,0.999726,0.975586,0.991578,0.976482,0.989423,0.972039,0.5,1.0,0.74174,0.994898,0.664987,0.0,0.0,
ctgan,ce,1337,False,0.99647730879086,0.9964377305017964,0.8268363407895932,0.8629780423016552,0.7843757142457781,0.7765729451827196,0.997652,0.64359,0.998672,0.974234,0.994822,0.991396,0.978644,0.996627,0.5,0.857143,0.996968,0.965839,0.095238,1.0,0.953846,0.8629780423016552,0.99886,0.625935,0.999726,0.995529,0.989868,0.970974,0.99434,0.996627,1.0,0.75,0.980694,0.888571,0.8,0.081633,0.329787,
tvae,ce,1337,False,0.9967173119644556,0.9965844337807174,0.8330106188914613,0.8253500495870669,0.7934320434144416,0.3441597816690346,0.997876,0.394872,0.998242,0.982499,0.995748,0.983748,0.955432,0.996627,0.5,1.0,0.998677,0.928571,0.897959,0.75,0.0,0.8253500495870669,0.998784,0.944785,0.999648,0.985373,0.986954,0.977208,0.983748,0.972039,1.0,1.0,0.981736,0.969206,0.656716,0.038961,0.0,
tvae,focal,1337,False,0.9759639796889876,0.9788911818366898,0.6499610146671985,0.8503699036659356,0.6782278536667167,0.8010498719430894,0.972848,0.64359,0.995196,0.970831,0.998351,0.994264,0.975859,0.996627,0.5,1.0,0.997023,0.986025,0.221088,0.75,0.753846,0.8503699036659356,0.999088,0.609223,0.997416,0.961483,0.950351,0.867389,0.883193,0.986644,0.5,0.12069,0.729146,0.725714,0.359116,0.006438,0.053523,sqrt_inverse
