sampler,loss,alpha_mode,seed,downsampled,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,gmean,weighted_f1,recall_BENIGN,precision_BENIGN,recall_Bot,precision_Bot,recall_DDoS,precision_DDoS,recall_DoS_GoldenEye,precision_DoS_GoldenEye,recall_DoS_Hulk,precision_DoS_Hulk,recall_DoS_Slowhttptest,precision_DoS_Slowhttptest,recall_DoS_slowloris,precision_DoS_slowloris,recall_FTP_Patator,precision_FTP_Patator,recall_Heartbleed,precision_Heartbleed,recall_Infiltration,precision_Infiltration,recall_PortScan,precision_PortScan,recall_SSH_Patator,precision_SSH_Patator,recall_Web_Attack_�_Brute_Force,precision_Web_Attack_�_Brute_Force,recall_Web_Attack_�_Sql_Injection,precision_Web_Attack_�_Sql_Injection,recall_Web_Attack_�_XSS,precision_Web_Attack_�_XSS
ros_matched,ce,,42,True,0.9559445414154236,0.5916043695420349,0.8196328258269745,0.611746884212131,0.8196328258269745,0.7109951970316284,0.9642865738376264,0.952918,0.998967,0.974359,0.068853,0.999336,0.820616,0.983471,0.935275,0.947033,0.998963,0.973231,0.851171,0.94429,0.98166,0.799325,0.997895,0.5,0.333333,0.857143,0.005797,0.997354,0.707952,0.900621,0.97973,0.911565,0.139583,0.5,0.004975,0.053846,0.049296
smote_matched,ce,,42,True,0.9737285782291336,0.6587809345583906,0.9287723525326078,0.696550971439058,0.9287723525326078,0.8291344226562549,0.9772623853193364,0.968996,0.99985,1.0,0.191835,0.99957,0.98223,0.986388,0.945921,0.999074,0.949262,0.994264,0.942029,0.988858,0.950893,0.996627,0.997468,1.0,1.0,1.0,0.101449,0.999118,0.728709,0.990683,0.796504,0.938776,0.134634,1.0,0.020305,0.069231,0.140625
adasyn_matched,ce,,42,True,0.967395271342431,0.5862179893433795,0.8748562765322425,0.6248725662993843,0.8748562765322425,0.798904312656636,0.9731392116839002,0.961698,0.999806,0.997436,0.093848,0.999805,0.955007,0.982013,0.882096,0.998959,0.944919,0.99522,0.907585,0.985144,0.982407,0.99747,0.994118,0.5,0.25,0.857143,0.040268,0.998953,0.738808,0.995342,0.787469,0.119048,0.13834,0.75,0.009146,0.984615,0.069452
ctgan_strict,ce,,42,False,0.9947715011107584,0.8671691525027454,0.8658930989979335,0.8008142044439999,0.8658930989979335,0.7084859306237299,0.9945696675521778,0.999055,0.995115,0.394872,1.0,0.99918,0.999609,0.990763,0.985017,0.949782,0.996873,0.994264,0.983917,0.987001,0.994387,0.996627,0.997468,1.0,0.5,1.0,0.875,0.997905,0.989072,0.970497,0.945537,0.935374,0.672372,0.75,0.073171,0.023077,1.0
ros_matched,ce,,123,True,0.9528681370993336,0.5854915940073074,0.8785311002076549,0.613899459280353,0.8785311002076549,0.8565214275201498,0.9627629727190864,0.948689,0.999542,0.979487,0.051186,0.999727,0.816772,0.944579,0.987297,0.947062,0.999024,0.99522,0.879223,0.95636,0.97723,0.996627,0.997468,0.5,0.142857,0.857143,0.019802,0.998953,0.701238,0.903727,0.988115,0.673469,0.154326,1.0,0.009302,0.476923,0.058991
smote_matched,ce,,123,True,0.975370913995557,0.6736560360663236,0.9017313984069104,0.6671402263452929,0.9017313984069104,0.8273283646757673,0.9787652360871056,0.97164,0.999558,0.992308,0.220011,0.997735,0.990961,0.975693,0.943583,0.996587,0.955751,0.99522,0.873322,0.989786,0.911111,0.99747,0.99747,0.5,1.0,1.0,0.038462,0.998842,0.740659,0.98913,0.801258,0.129252,0.542857,1.0,0.021978,0.992308,0.067859
adasyn_matched,ce,,123,True,0.9531220247540464,0.5606436318591344,0.8933671977154181,0.6065488706503396,0.8933671977154181,0.8019269062328315,0.96495590772034,0.944734,0.999692,1.0,0.038675,0.99875,0.9711,0.980068,0.866724,0.997888,0.949832,0.991396,0.867782,0.985144,0.720788,0.996627,0.994949,0.5,0.333333,1.0,0.069307,0.999118,0.708733,0.987578,0.727689,0.088435,0.089347,1.0,0.007273,0.930769,0.06443
ctgan_strict,ce,,123,False,0.9971497143763884,0.8891110178043831,0.8436045929579961,0.8062663355334243,0.8436045929579961,0.7235904316738234,0.99698790238785,0.99853,0.99853,0.394872,1.0,0.999688,0.999297,0.983471,0.991667,0.990454,0.989452,0.994264,0.980207,0.987929,0.994393,0.996627,0.997468,0.5,1.0,0.857143,0.857143,0.998842,0.988758,0.959627,0.96112,0.938776,0.686567,1.0,0.114286,0.053846,0.777778
ros_matched,ce,,2024,True,0.9569838940019042,0.5682306001632307,0.8666510496233291,0.5996126005258743,0.8666510496233291,0.7550594304257904,0.964942405972234,0.949157,0.999801,0.95641,0.063103,0.999688,0.926214,0.982013,0.794337,0.99864,0.94222,0.984704,0.833333,0.959146,0.878401,0.996627,0.896813,0.5,0.142857,1.0,0.042169,0.998787,0.686588,0.928571,0.801609,0.942177,0.143005,0.75,0.004587,0.053846,0.368421
smote_matched,ce,,2024,True,0.9649099492224692,0.6181475329542963,0.9025589387255776,0.657217216327243,0.9025589387255776,0.8361232968172312,0.9697605114532742,0.959152,0.999629,0.774359,0.168339,0.999648,0.916428,0.985902,0.797797,0.998843,0.947272,0.99522,0.744103,0.946147,0.883016,0.994941,0.96563,1.0,0.666667,0.857143,0.098361,0.998567,0.703937,0.914596,0.976783,0.129252,0.345455,1.0,0.005642,0.984615,0.053156
adasyn_matched,ce,,2024,True,0.9532926055220564,0.5594324839213985,0.8774530919871869,0.5979226478871208,0.8774530919871869,0.7941339614813105,0.9643528063790582,0.944968,0.999717,1.0,0.041573,0.999024,0.931871,0.960622,0.911439,0.998496,0.949887,0.99522,0.851186,0.982358,0.978723,0.994941,0.998308,0.5,0.142857,1.0,0.025735,0.998842,0.707651,0.98913,0.676939,0.102041,0.09901,0.75,0.010989,0.946154,0.0656
ctgan_strict,ce,N/A,2024,False,0.9866490796572517,0.9003474582097465,0.7696212132004921,0.7677820622800804,0.7696212132004921,0.5399580189208592,0.9858998501456899,0.996208,0.987925,0.638462,0.627204,0.994727,0.999372,0.987846,0.987846,0.988747,0.987319,0.99044,0.981991,0.945218,0.992203,0.995784,0.992437,1.0,1.0,1.0,1.0,0.784608,0.939406,0.908385,0.983193,0.040816,1.0,0.25,0.026316,0.023077,1.0
