sampler,loss,alpha_mode,seed,downsampled,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,gmean,weighted_f1,recall_BENIGN,precision_BENIGN,recall_Bot,precision_Bot,recall_DDoS,precision_DDoS,recall_DoS_GoldenEye,precision_DoS_GoldenEye,recall_DoS_Hulk,precision_DoS_Hulk,recall_DoS_Slowhttptest,precision_DoS_Slowhttptest,recall_DoS_slowloris,precision_DoS_slowloris,recall_FTP_Patator,precision_FTP_Patator,recall_Heartbleed,precision_Heartbleed,recall_Infiltration,precision_Infiltration,recall_PortScan,precision_PortScan,recall_SSH_Patator,precision_SSH_Patator,recall_Web_Attack_�_Brute_Force,precision_Web_Attack_�_Brute_Force,recall_Web_Attack_�_Sql_Injection,precision_Web_Attack_�_Sql_Injection,recall_Web_Attack_�_XSS,precision_Web_Attack_�_XSS
none,focal,fixed,42,False,0.9875813233894002,0.8344347956523875,0.7532450332587133,0.7670666264866007,0.7532450332587133,0.2746916678734467,0.987615984503218,0.990241,0.995186,0.638462,0.616337,0.998945,0.999375,0.977151,0.993574,0.999074,0.966124,0.99522,0.980226,0.986072,0.994382,0.996627,0.997468,0.5,1.0,0.428571,1.0,0.907051,0.859928,0.900621,0.998279,0.942177,0.661098,0.0,0.0,0.038462,0.454545
none,focal,sqrt_inverse,42,False,0.979573944779435,0.6944931512274407,0.8245141053992879,0.7128114575106494,0.8245141053992879,0.6920254716802771,0.9810085583720348,0.976564,0.999282,0.64359,0.604819,0.996719,0.998123,0.991249,0.878879,0.999016,0.950592,0.994264,0.88061,0.984215,0.976959,0.996627,0.997468,0.5,1.0,1.0,0.212121,0.99774,0.738996,0.990683,0.788628,0.993197,0.252377,0.25,0.025641,0.053846,0.112903
none,focal,fixed,7,False,0.9965645826721676,0.7957005373725177,0.7900389301900221,0.7845702795599366,0.7900389301900221,0.143965835588126,0.9964750470996244,0.996905,0.99945,0.646154,0.628429,0.999648,0.999453,0.983957,0.984436,0.999971,0.97457,0.99522,0.963889,0.969359,0.995234,0.996627,0.997468,0.5,1.0,0.857143,0.75,0.999063,0.98903,0.909938,0.996599,0.996599,0.656951,0.0,0.0,0.0,0.0
none,focal,sqrt_inverse,7,False,0.973538162488099,0.6315386478686018,0.8368840067113783,0.6610059081686616,0.8368840067113783,0.7144968718376207,0.97609015882755,0.969263,0.999464,0.641026,0.576037,0.99957,0.945087,0.982013,0.900178,0.998756,0.945477,0.994264,0.876897,0.955432,0.880993,0.996627,0.969647,0.5,0.25,1.0,0.106061,0.998401,0.73406,0.975155,0.80102,0.996599,0.124522,0.5,0.030303,0.046154,0.333333
none,focal,fixed,123,False,0.9970307045382418,0.8420033817221556,0.781778807542022,0.7716665146252412,0.781778807542022,0.2880446981612654,0.996844251162808,0.998014,0.998873,0.394872,1.0,0.999805,0.999492,0.992708,0.977033,0.995082,0.982969,0.992352,0.985755,0.989786,0.992551,0.99747,0.99663,1.0,0.5,0.428571,0.75,0.999008,0.989084,0.902174,0.998282,0.982993,0.681604,0.0,0.0,0.053846,0.777778
none,focal,sqrt_inverse,123,False,0.9760334020945732,0.69992662830509,0.8474643867424826,0.7087601047735919,0.8474643867424826,0.7547158017474788,0.9786930568802537,0.973006,0.998988,0.64359,0.540948,0.992306,0.997526,0.991249,0.810736,0.998785,0.94844,0.99522,0.861042,0.953575,0.960711,0.996627,0.950925,1.0,1.0,0.857143,0.157895,0.99785,0.736012,0.982919,0.819948,0.12585,0.649123,0.25,0.005128,0.953846,0.061477
none,focal,fixed,1337,False,0.9970188035544272,0.8424715348868815,0.8033077406960107,0.7798029208819651,0.8033077406960107,0.2848169446866265,0.9969534261778232,0.99763,0.999202,0.641026,0.618812,0.999102,0.999648,0.990763,0.981223,0.996326,0.986622,0.994264,0.977444,0.987001,0.99253,0.99747,0.99747,0.5,1.0,1.0,0.583333,0.999118,0.98833,0.978261,0.919708,0.945578,0.592751,0.0,0.0,0.023077,1.0
none,focal,sqrt_inverse,1337,False,0.9648901142494446,0.6081140682855853,0.7915719872058333,0.6303876549968661,0.7915719872058333,0.6881336156302957,0.9690424258457824,0.960648,0.999002,0.661538,0.437288,0.98465,0.988085,0.975693,0.829339,0.996182,0.890581,0.981836,0.789393,0.935933,0.888889,0.996627,0.790635,0.5,0.25,0.714286,0.064935,0.996361,0.685882,0.900621,0.955519,0.088435,0.490566,0.25,0.000975,0.930769,0.060621
none,focal,fixed,2024,False,0.9968581402729292,0.8659970194792711,0.7967683421493731,0.7796087812755275,0.7967683421493731,0.2810214406446357,0.9966623295606998,0.997773,0.998877,0.392308,1.0,0.999648,0.999609,0.98493,0.985409,0.996529,0.981901,0.994264,0.982987,0.987001,0.994387,0.996627,0.997468,1.0,0.4,0.714286,1.0,0.998401,0.985417,0.917702,0.991611,0.94898,0.672289,0.0,0.0,0.023077,1.0
none,focal,sqrt_inverse,2024,False,0.9772631704220882,0.6794138505969163,0.859162064414209,0.7202662081092298,0.859162064414209,0.3625724533044992,0.979537974004094,0.973831,0.999346,0.64359,0.567873,0.998477,0.993973,0.975207,0.902384,0.998496,0.950201,0.994264,0.871022,0.974002,0.975814,0.996627,0.988294,1.0,1.0,0.857143,0.272727,0.998126,0.73493,0.984472,0.775061,0.993197,0.139379,0.5,0.020202,0.0,0.0
